retreat,gradient
100,-0.81
90,-0.75
90,-0.7
70,-0.69
70,-0.68
90,-0.63
230,-0.61
70,-0.57
95,-0.56
90,-0.55
85,-0.55
75,-0.53
200,-0.52
85,-0.52
100,-0.51
100,-0.5
220,-0.5
220,-0.5
250,-0.5
90,-0.48
90,-0.46
70,-0.46
65,-0.45
200,-0.44
240,-0.43
100,-0.43
90,-0.43
85,-0.42
90,-0.42
100,-0.42
65,-0.41
100,-0.41
100,-0.41
120,-0.37
120,-0.36
95,-0.36
200,-0.36
270,-0.36
110,-0.34
110,-0.34
110,-0.34
90,-0.33
120,-0.31
85,-0.31
60,-0.31
270,-0.31
105,-0.3
230,-0.29
90,-0.29
70,-0.29
70,-0.29
160,-0.29
110,-0.29
75,-0.29
75,-0.29
90,-0.28
180,-0.28
130,-0.27
90,-0.27
85,-0.27
115,-0.27
90,-0.27
245,-0.27
120,-0.26
70,-0.26
90,-0.26
85,-0.26
100,-0.25
120,-0.25
120,-0.25
65,-0.25
90,-0.25
105,-0.25
110,-0.24
140,-0.24
55,-0.24
70,-0.24
60,-0.24
120,-0.24
85,-0.24
110,-0.23
220,-0.23
220,-0.23
90,-0.22
210,-0.22
120,-0.21
110,-0.21
250,-0.21
180,-0.21
120,-0.2
95,-0.2
170,-0.2
220,-0.19
110,-0.19
180,-0.19
80,-0.18
110,-0.18
130,-0.17
90,-0.16
90,-0.16
70,-0.16
220,-0.16
230,-0.16
220,-0.16
230,-0.15
350,-0.15
90,-0.14
90,-0.14
200,-0.14
240,-0.14
500,-0.14
65,-0.13
75,-0.13
150,-0.13
110,-0.13
350,-0.13
230,-0.13
320,-0.13
220,-0.13
180,-0.13
230,-0.13
190,-0.13
390,-0.13
70,-0.12
65,-0.12
130,-0.12
200,-0.12
300,-0.12
230,-0.11
120,-0.11
140,-0.11
70,-0.11
75,-0.11
80,-0.11
140,-0.11
140,-0.11
190,-0.11
250,-0.11
255,-0.11
310,-0.11
90,-0.1
130,-0.1
140,-0.1
90,-0.1
80,-0.1
100,-0.1
85,-0.1
150,-0.09
120,-0.09
70,-0.09
160,-0.09
240,-0.09
265,-0.09
450,-0.09
100,-0.08
220,-0.08
160,-0.08
550,-0.08
120,-0.07
110,-0.07
220,-0.07
80,-0.07
100,-0.07
110,-0.07
100,-0.07
60,-0.07
80,-0.07
190,-0.07
260,-0.07
310,-0.07
220,-0.06
180,-0.06
460,-0.06
90,-0.05
80,-0.05
110,-0.05
180,-0.05
220,-0.05
540,-0.05
400,-0.05
100,-0.04
120,-0.04
100,-0.04
120,-0.04
310,-0.04
550,-0.04
600,-0.04
550,-0.04
75,-0.03
170,-0.03
220,-0.03
480,-0.03
500,-0.03
90,-0.02
180,-0.02
180,-0.02
400,-0.02
600,-0.02
600,0
580,0
450,0
100,0.01
90,0.01
90,0.01
220,0.01
140,0.01
90,0.01
130,0.01
100,0.01
80,0.01
130,0.01
90,0.01
70,0.01
70,0.01
80,0.01
110,0.01
110,0.01
130,0.01
130,0.01
140,0.01
180,0.01
220,0.01
220,0.01
240,0.01
180,0.01
210,0.01
220,0.01
230,0.01
260,0.01
310,0.01
220,0.01
240,0.01
230,0.01
280,0.01
290,0.01
400,0.01
420,0.01
230,0.01
530,0.01
530,0.01
550,0.01
75,0.02
440,0.02
580,0.02
450,0.02
500,0.02
550,0.02
90,0.03
200,0.03
235,0.03
260,0.03
580,0.03
550,0.03
550,0.03
330,0.03
210,0.04
110,0.04
450,0.04
110,0.05
150,0.05
80,0.05
100,0.05
550,0.05
550,0.05
360,0.05
500,0.05
180,0.06
90,0.06
150,0.06
70,0.06
90,0.06
75,0.06
110,0.06
240,0.06
590,0.06
570,0.06
480,0.06
460,0.06
70,0.07
570,0.07
520,0.07
450,0.07
550,0.07
500,0.07
90,0.08
90,0.08
90,0.08
90,0.08
230,0.08
220,0.08
110,0.09
95,0.09
160,0.09
220,0.09
520,0.09
250,0.1
160,0.1
100,0.1
95,0.1
230,0.1
300,0.1
390,0.1
600,0.1
550,0.1
180,0.11
90,0.11
110,0.11
210,0.11
230,0.11
610,0.11
90,0.12
330,0.12
100,0.13
95,0.13
220,0.13
110,0.13
160,0.13
80,0.13
90,0.13
90,0.13
110,0.13
90,0.13
320,0.13
230,0.14
85,0.14
60,0.14
300,0.15
150,0.15
140,0.15
250,0.15
370,0.15
110,0.16
90,0.16
110,0.16
270,0.16
315,0.16
95,0.17
110,0.17
300,0.17
260,0.17
150,0.18
120,0.19
100,0.19
100,0.19
220,0.19
210,0.19
280,0.19
110,0.19
90,0.19
180,0.19
90,0.2
120,0.2
90,0.2
90,0.21
90,0.21
270,0.21
130,0.24
95,0.25
150,0.25
140,0.25
170,0.25
110,0.25
120,0.25
90,0.26
120,0.26
220,0.27
75,0.28
130,0.29
150,0.29
120,0.29
260,0.29
100,0.3
110,0.3
115,0.3
160,0.31
100,0.32
130,0.32
80,0.32
110,0.33
90,0.33
110,0.34
100,0.34
130,0.34
100,0.34
100,0.34
130,0.36
110,0.36
120,0.36
120,0.36
110,0.36
220,0.36
90,0.38
120,0.38
90,0.38
150,0.39
160,0.39
90,0.4
90,0.41
90,0.41
90,0.41
120,0.42
90,0.42
135,0.43
100,0.43
75,0.43
90,0.44
90,0.44
190,0.46
120,0.47
150,0.48
80,0.49
80,0.5
90,0.5
90,0.5
90,0.5
90,0.52
90,0.54
100,0.54
110,0.57
70,0.61
110,0.64
110,0.72
100,0.76
110,0.76
110,0.8
110,0.82
90,0.86
100,0.9
110,0.9
